ID|SKU|Canonical Product Name|Legacy Name|Brand|Category|Size|Verification Source|Verification Status|Regulatory Status|Publish Status|Media Status|Notes
1|TBD|TBD|Dung dịch vệ sinh|One Today|Dung dịch vệ sinh|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
2|TBD|TBD|Kem dưỡng trắng da mặt One Today 9g|One Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
3|TBD|TBD|Kem dưỡng trắng giúp tái tạo da One Today 9g|One Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
4|TBD|Kem Kỳ Tế Bào Da Chết - 60g|Kem kỳ tế bào chết One Today 60ml|One Today|Tẩy tế bào chết|60g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
5|TBD|Kem Trắng Da Mặt 3 In 1 - 5g|Kem trắng da mặt 3 in 1 One Today 5g|One Today|Kem dưỡng/chăm sóc da|5g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
6|TBD|Kem Trắng Da Ngừa Mụn 3 Tác Dụng - 8g|Kem ngừa mụn 3 tác dụng One Today 8g|One Today|Kem dưỡng/chăm sóc da|8g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
7|TBD|TBD|Kem trắng da chống nắng SPF 50 One Today 9g|One Today|Chống nắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
8|TBD|Kem Trắng Da Mặt Ngọc Trai - 20g|Kem trắng da mặt ngọc trai 20g|One Today|Kem dưỡng/chăm sóc da|20g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
9|TBD|Kem Chống Nắng Dưỡng Trắng Da SPF50+ - 15g|Kem trắng da chống nắng SPF 50 cao cấp 15g|One Today|Chống nắng|15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
10|TBD|TBD|Kem dưỡng trắng phục hồi da 20g|One Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
11|TBD|Kem Trắng Da Ban Ngày - 15g|Kem trắng da ban ngày cao cấp 15g|One Today|Kem dưỡng/chăm sóc da|15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
12|TBD|Kem Trắng Da Ban Đêm - 15g|Kem trắng da ban đêm cao cấp 15g|One Today|Kem dưỡng/chăm sóc da|15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
13|TBD|Kem Dưỡng Trắng Giúp Mờ Tàn Nhang - Đồi Mồi Cao Cấp - 15g|Kem dưỡng trắng da, ngừa tàn nhang, đồi mồi cao cấp 15g|One Today|Kem dưỡng/chăm sóc da|15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
14|TBD|Kem Dưỡng Trắng Giúp Mờ Các Dấu Hiệu Lão Hóa Da - 20g|Kem dưỡng trắng, ngừa lão hóa da 20g|One Today|Kem dưỡng/chăm sóc da|20g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
15|TBD|Kem Giúp Mờ Nám Cao Cấp - 15g|Kem ngừa nám cao cấp 15g|One Today|Kem dưỡng/chăm sóc da|15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
16|TBD|Kem Giúp Mờ Nám - 8g|Kem ngừa nám 8g|One Today|Kem dưỡng/chăm sóc da|8g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
17|TBD|Sữa Rửa Mặt Sáng Da Ngừa Mụn - 50g|Sữa rửa mặt ngừa mụn One Today 50ml|One Today|Sữa rửa mặt|50g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
18|TBD|TBD|Sữa rửa mặt ngừa lão hóa One Today 50ml|One Today|Sữa rửa mặt|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
19|TBD|Kem Dưỡng Trắng Da Toàn Thân - 80g|Kem dưỡng trắng da toàn thân One Today 80g|One Today|Chăm sóc body|80g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
20|TBD|Kem Giúp Mờ Nám - Mụn, Trắng Da 3 Tác Dụng Cao Cấp - 15g|Kem ngừa mụn, nám, trắng da, 3 tác dụng cao cấp 15g|One Today|Kem dưỡng/chăm sóc da|15g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
21|TBD|Kem Dưỡng Trắng Giúp Mờ Tàn Nhang - Đồi Mồi Cao Cấp - 30g|Kem nám, tàn nhang, đồi mồi đẳng cấp 30g|One Today|Kem dưỡng/chăm sóc da|30g|PHIEU_CONG_BO_SAN_PHAM_MY_PHAM; received 2026-08-18|VERIFIED_NOTIFICATION_IMAGE|active|PUBLISH_ALLOWED|BRZ40_REVIEW_REQUIRED|
22|TBD|TBD|Kem dưỡng trắng, ngừa tàn nhang, đồi mồi|One Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
23|TBD|TBD|Kem dưỡng trắng dành cho da nhạy cảm|One Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
24|TBD|TBD|Kem dưỡng trắng đa chức năng đẳng cấp Vip 50g|One Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
25|TBD|TBD|Kem Nám – Tàn Nhang – Đồi Mồi Tinh Chất Nano Vàng / One Today Gold|One Today Gold|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
26|TBD|TBD|SERUM Dưỡng Trắng Da Ngừa Nám Nano Vàng / One Today Gold|One Today Gold|Serum|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
27|TBD|TBD|Kem Chống Nắng Dưỡng Trắng Da Tinh Chất Nano Vàng / One Today Gold|One Today Gold|Chống nắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
28|TBD|TBD|Sữa Rửa Mặt Vitamin Ngừa Mụn – Se Khít Lỗ Chân Lông (Tinh Chất Nano Vàng) / One Today Gold|One Today Gold|Sữa rửa mặt|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
29|TBD|TBD|Kem Tẩy Tế Bào Da Chết Dừa – Hạnh Nhân / One Today Gold|One Today Gold|Tẩy tế bào chết|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
30|TBD|TBD|Kem Tẩy Da Chết CAFÉ – Nano Vàng / One Today Gold|One Today Gold|Tẩy tế bào chết|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
31|TBD|TBD|Kem trắng da, ngừa mụn, mờ vết thâm / One Today Gold|One Today Gold|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
32|TBD|TBD|Kem Dưỡng Trắng Da Toàn Thân / One Today Gold|One Today Gold|Chăm sóc body|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
33|TBD|TBD|Kem Dưỡng Trắng Da, Giúp Tái Tạo Da, Ngừa Lão Hóa Da / One Today Gold|One Today Gold|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
34|TBD|TBD|Kem và bột tắm trắng ngọc trai, sữa dê 125g|Ever Today|Tắm trắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
35|TBD|TBD|Kem và bột tắm trắng thảo mộc 125g|Ever Today|Tắm trắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
36|TBD|TBD|Sữa rửa mặt ngừa lão hóa Ever Today 50ml|Ever Today|Sữa rửa mặt|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
37|TBD|TBD|Sữa rửa mặt ngừa mụn Ever Today 50ml|Ever Today|Sữa rửa mặt|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
38|TBD|TBD|Kem và bột tắm trắng bùn khoáng 125g|Ever Today|Tắm trắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
39|TBD|TBD|Kem dưỡng trắng giúp tái tạo da Ever Today 6g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
40|TBD|TBD|Kem dưỡng trắng, ngừa lão hóa da cao cấp 18g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
41|TBD|TBD|Kem dưỡng trắng da mặt Ever Today 6g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
42|TBD|TBD|Kem dưỡng trắng da toàn thân Ever Today 75g|Ever Today|Chăm sóc body|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
43|TBD|TBD|Kem mụn, thâm, se khít lỗ chân lông 9g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
44|TBD|TBD|Kem mụn, nám, trắng da cao cấp 15g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
45|TBD|TBD|Kem kỳ tế bào chết Ever Today 60ml|Ever Today|Tẩy tế bào chết|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
46|TBD|TBD|Kem mụn 3 tác dụng Ever Today 6g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
47|TBD|TBD|Kem trắng da chống nắng SPF 50 Ever Today 6g|Ever Today|Chống nắng|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
48|TBD|TBD|Kem trắng da mặt 3 in 1 Ever Today 5g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
49|TBD|TBD|Kem trắng da mặt đa chức năng 30g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
50|TBD|TBD|Kem nám, tàn nhang, đồi mồi 6g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
51|TBD|TBD|Kem nám, tàn nhang, đồi mồi đẳng cấp (Vip) 30g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
52|TBD|TBD|Kem nám, tàn nhang, đồi mồi cao cấp 15g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
53|TBD|TBD|Kem nám, thâm 3 tác dụng 6g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
54|TBD|TBD|Kem nám cao cấp 18g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
55|TBD|TBD|Kem trắng da ban đêm 9g|Ever Today|Kem dưỡng/chăm sóc da|TBD|TBD|NEED_VERIFY|unknown|LEGAL_HOLD|NOT_EVALUATED_BY_DATA|Legacy identity only; do not treat legacy wording as approved claim
